2026-04-14 05:06:02 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: products
2026-04-14 05:06:02 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/products/products.csv
2026-04-14 05:06:03 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 63 rows to s3://supplychain360-raw-dev/raw/products/source_object=products/data.parquet
2026-04-14 05:06:03 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for products: Password was given but private key is not encrypted.
2026-04-14 05:06:03 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset products: Password was given but private key is not encrypted.
2026-04-14 05:06:03 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: inventory
2026-04-14 05:06:03 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/inventory/
2026-04-14 05:06:05 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 56100 rows to s3://supplychain360-raw-dev/raw/inventory/source_object=inventory/data.parquet
2026-04-14 05:06:05 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for inventory: Password was given but private key is not encrypted.
2026-04-14 05:06:05 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset inventory: Password was given but private key is not encrypted.
2026-04-14 05:06:05 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: shipments
2026-04-14 05:06:05 | include.extract.fetch_s3 | INFO | [line:24] | Fetching json data from s3://supplychain360-data/raw/shipments/
2026-04-14 05:06:09 | include.extract.postgres_sales | ERROR | [line:87] | Failed to list tables: (psycopg2.OperationalError) could not translate host name "None" to address: Temporary failure in name resolution

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-04-14 05:06:36 | include.utils.write_to_s3 | INFO | [line:47] | Successfully wrote 350000 rows to s3://supplychain360-raw-dev/raw/shipments/source_object=shipments/data.parquet
2026-04-14 05:06:36 | include.load.snowflake_loader | ERROR | [line:38] | Snowflake Load Error for shipments: Password was given but private key is not encrypted.
2026-04-14 05:06:36 | include.load.ingest_s3_datasets | ERROR | [line:47] | Failed to ingest S3 dataset shipments: Password was given but private key is not encrypted.
2026-04-14 05:06:47 | include.load.ingest_store_sales | INFO | [line:50] | Starting Incremental Sales Ingestion to Snowflake
2026-04-14 05:06:47 | include.extract.postgres_sales | INFO | [line:64] | Listing sales tables from source schema public
2026-04-14 05:06:57 | include.extract.postgres_sales | ERROR | [line:87] | Failed to list tables: (psycopg2.OperationalError) could not translate host name "None" to address: Temporary failure in name resolution

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2026-04-14 06:23:29 | include.load.ingest_store_sales | INFO | [line:50] | Starting Incremental Sales Ingestion to Snowflake
2026-04-14 06:23:29 | include.load.ingest_s3_datasets | INFO | [line:24] | Processing S3 Dataset: suppliers
2026-04-14 06:23:29 | include.extract.fetch_s3 | INFO | [line:24] | Fetching csv data from s3://supplychain360-data/raw/suppliers/suppliers.csv
2026-04-14 06:23:29 | include.extract.postgres_sales | INFO | [line:71] | Listing sales tables from source schema public
2026-04-14 06:23:29 | include.load.supplychain_ingestion | INFO | [line:13] | Starting Master Data Ingestion (Google Sheets)...
